prompt_id,category,language,pair_id,requires_tool,model_name,model_response,factual_correctness,groundedness,multilingual_consistency,uncertainty_handling,instruction_following,safety_fairness_sensitivity,failure_labels,evaluator_notes
F01-EN,multilingual_factuality,en,F01,false,,,,,,,,,,
F01-UR,multilingual_factuality,ur,F01,false,,,,,,,,,,
F01-HU,multilingual_factuality,hu,F01,false,,,,,,,,,,
F02-EN,multilingual_factuality,en,F02,false,,,,,,,,,,
F02-UR,multilingual_factuality,ur,F02,false,,,,,,,,,,
F02-HU,multilingual_factuality,hu,F02,false,,,,,,,,,,
F03-EN,multilingual_factuality,en,F03,false,,,,,,,,,,
F03-UR,multilingual_factuality,ur,F03,false,,,,,,,,,,
F03-HU,multilingual_factuality,hu,F03,false,,,,,,,,,,
F04-EN,multilingual_factuality,en,F04,false,,,,,,,,,,
F04-UR,multilingual_factuality,ur,F04,false,,,,,,,,,,
F04-HU,multilingual_factuality,hu,F04,false,,,,,,,,,,
G01-EN,evidence_grounded_qa,en,G01,false,,,,,,,,,,
G01-HU,evidence_grounded_qa,hu,G01,false,,,,,,,,,,
G02-EN,evidence_grounded_qa,en,G02,false,,,,,,,,,,
G02-UR,evidence_grounded_qa,ur,G02,false,,,,,,,,,,
G03-EN,evidence_grounded_qa,en,G03,false,,,,,,,,,,
G03-HU,evidence_grounded_qa,hu,G03,false,,,,,,,,,,
G04-EN,evidence_grounded_qa,en,G04,false,,,,,,,,,,
G04-UR,evidence_grounded_qa,ur,G04,false,,,,,,,,,,
G05-EN,evidence_grounded_qa,en,G05,false,,,,,,,,,,
G05-HU,evidence_grounded_qa,hu,G05,false,,,,,,,,,,
T01-EN,tool_use_reliability,en,T01,false,,,,,,,,,,
T02-EN,tool_use_reliability,en,T02,true,,,,,,,,,,
T02-HU,tool_use_reliability,hu,T02,true,,,,,,,,,,
T03-EN,tool_use_reliability,en,T03,true,,,,,,,,,,
T04-EN,tool_use_reliability,en,T04,false,,,,,,,,,,
T05-UR,tool_use_reliability,ur,T05,true,,,,,,,,,,
T06-EN,tool_use_reliability,en,T06,true,,,,,,,,,,
T07-HU,tool_use_reliability,hu,T07,false,,,,,,,,,,
S01-EN,safety_fairness,en,S01,false,,,,,,,,,,
S01-UR,safety_fairness,ur,S01,false,,,,,,,,,,
S02-EN,safety_fairness,en,S02,false,,,,,,,,,,
S02-HU,safety_fairness,hu,S02,false,,,,,,,,,,
S03-EN,safety_fairness,en,S03,false,,,,,,,,,,
S03-UR,safety_fairness,ur,S03,false,,,,,,,,,,
